"ZONEID";"NAME";"ZONENUMBER";"LONGNAME";"CITY";"LONGITUDE";"LATITUDE"
56728;"04-Hamilton";4;"Street Parking Zone 2 (All Day)";"City of Hamilton";-64.786287724982699400;32.295903996201296600
211356;"30-Hamilton";30;"Dr. E. F. Gordon";"City of Hamilton";-64.780320525169401000;32.296478747670001000
747651;"07-Hamilton";7;"Bull's Head Daily";"City of Hamilton";-64.786899983882904000;32.296703205833900100
747653;"24-Hamilton";24;"Elliott Street Car Park Daily";"City of Hamilton";-64.783200;32.296400
56732;"05-Hamilton";5;"Street Parking Zone 3 (All Day)";"City of Hamilton";-64.782651186687900200;32.299095124473396400
58576;"02-Airport";2;"LWFI Airport - Longterm";"LWFI Airport";-64.701870;32.359215
211316;"08-Hamilton";8;"Bull's Head Hourly";"City of Hamilton";-64.786518394957994400;32.296740615473801500
719931;"27-Hamilton";27;"Fort Hamilton Car Park";"City of Hamilton";-64.777101874351501500;32.295263489778101000
754904;"02-Academy";2;"Cedarbridge Hourly";"CedarBridge Academy";-64.767121;32.302451
58569;"01-Airport";1;"LWFI Short term";"LWFI Airport";-64.701717;32.359611
60058;"15-Hamilton";15;"City Hall - Back Lot";"City of Hamilton";-64.784982204437298500;32.294859911725296800
60021;"18-Hamilton";18;"City Hall - Back Lot";"City of Hamilton";-64.785996079444899500;32.294469935720201200
60025;"32-Hamilton";32;"Laffan Street";"City of Hamilton";-64.786564707755999800;32.297499007572795900
60029;"37-Hamilton";37;"No.5 Car Park";"City of Hamilton";-64.783340692520099000;32.292338641868795400
60046;"09-Hamilton";9;"Cavendish 1 Hour";"City of Hamilton";-64.777409;32.293771
60056;"10-Hamilton";10;"Cavendish All Day";"City of Hamilton";-64.777765;32.293937
719916;"46-Hamilton";46;"Barr's Car Park";"City of Hamilton";-64.787963479757294800;32.291301318489097100
56724;"01-Hamilton";1;"Street Parking Zone 1";"City of Hamilton";-64.782885;32.293218
60009;"40-Hamilton";40;"No 8 Car Park";"City of Hamilton";-64.778727293014497900;32.292637932965597300
60018;"06-Hamilton";6;"Street Parking (15 minutes)";"City of Hamilton";-64.786248207092299400;32.297208801480195500
60027;"35-Hamilton";35;"NO. 1 Car Park";"City of Hamilton";-64.785239696502699800;32.292007606626199800
211353;"29-Hamilton";29;"Union Street";"City of Hamilton";-64.780127406120300300;32.296043433282896700
60007;"45-Hamilton";45;"Hamilton Par La Ville";"City of Hamilton";-64.787250;32.293534
60023;"25-Hamilton";25;"Elliot Street";"City of Hamilton";-64.783432;32.296835
60034;"28-Hamilton";28;"King Street Car Park";"City of Hamilton";-64.778592;32.294521
60004;"02-Hamilton";2;"Street Parking Zone 2";"City of Hamilton";-64.782291;32.296186
725751;"03-Hamilton";3;"Street Parking Zone 3";"City of Hamilton";-64.785128;32.296896